listing_title,property_type,city,beds,accommodates,competitor_avg_price,nightly_price
Sky Haus - A-Frame Cabin,chalet,Skykomish,4.0,8.0,306.0,306.0
The Catskill A-Frame - Mid-Century Modern Cabin,cabin,Hancock,4.0,8.0,357.5,485.0
The Triangle: A-Frame Cabin for your city retreat,cabin,West Farmington,4.0,8.0,121.0,119.0
*Summer Sizzle* 5 Min to Blue Ridge* Pets* Hot tub,house,Blue Ridge,5.0,10.0,192.0,192.0
Luxury Treehouse Couples Getaway w/ Peaceful Views,treehouse,Grandview,1.0,2.0,232.0,232.0
Casa Tiny near Casa Wabi,tiny_home,Puerto Escondido,1.0,2.0,261.0,261.0
The Beach House. Oceanfront & Sunrise Views!,house,Saco,2.0,4.0,607.0,607.0
• Cedar Peak • 2 Bedroom Barrier-Free Chalet,chalet,Grand Étang,2.0,4.0,381.0,381.0
"Room in apartment, traditional neighborhood",room,Mexico City,2.0,4.0,30.0,29.0
Peacock Tiny House near Las Vegas,tiny_home,Sandy Valley,3.0,6.0,154.5,154.0
Hidden Valley’s Guest Suite - explore nature,guest_suite,Huntsville,2.0,4.0,207.0,207.0
Downey Family Cabin. Barrel Sauna Included!,cabin,Nelson,2.0,4.0,162.0,162.0
Dome in the Desert in Joshua Tree,unique_stay,Joshua Tree,1.0,2.0,268.0,268.0
Private Barn Studio at Pura Vida Florida Farm,unique_stay,Vero Beach,2.0,4.0,111.0,111.0
Cozy Tiny House Cabin between Burlington and Stowe,tiny_home,Bolton,2.0,4.0,174.0,174.0
Peace Cabin - private waterfront forest retreat,cabin,Ucluelet,1.0,2.0,497.0,497.0
14th Homestead Barn Loft,unique_stay,Essex,1.0,2.0,163.0,163.0
"Lagoon Front Hut: Daily Cleaning, Bikes & Kayaks!",apartment,Bacalar,1.0,2.0,141.0,141.0
The Forestry House - A modern luxury treehouse.,treehouse,Travelers Rest,1.0,2.0,293.5,282.0
Underground Hobbit Hole @ Sustainable Ecovillage,farm_stay,Del Norte County,1.0,2.0,89.0,89.0
Rainforest Tree House with Hot Springs,treehouse,San Carlos,3.0,6.0,132.0,132.0
Tullihas in the Trees Off-Grid Treehouse,treehouse,Frazeysburg,2.0,4.0,143.0,143.0
SECLUDED LAKESIDE CABIN,cabin,Rodney,3.0,6.0,463.0,463.0
Fauria Colonial House (Room 3),room,La Habana,1.0,2.0,38.0,29.0
Domeland: Off-grid Adobe Dome near Big Bend,unique_stay,Terlingua,5.0,10.0,136.0,136.0
Lake Sutherland Waterfront Cabin w/ Expansive Dock,house,Port Angeles,1.0,2.0,688.0,688.0
Luxury Tree House X Magical Romantic Forest! Pool!,treehouse,Fredericksburg,1.0,2.0,649.5,658.0
Scandinavian-Inspired Tiny Home Experience,cottage,Harcourt,2.0,4.0,392.0,392.0
Tiny House Cubo Nube Santa Elena 40 min. Medellin.,tiny_home,Medellín,1.0,2.0,67.0,67.0
Chalet Boutique Saltamontes Santa Elena,cabin,Medellín,2.0,4.0,51.0,51.0
Secluded View! A-Frame Hot Tub and Fire Pit,cabin,Bryson City,1.0,2.0,357.5,354.0
★ BubbleSky Glamping ★ One Night Under Stars ★3,other,Retiro,2.0,4.0,107.0,107.0
Cozy Oceanview Cabin,cabin,Bluefields,1.0,2.0,102.0,102.0
Hut #1 Romantic Luxury Beachfront,unique_stay,Bavaro,2.0,4.0,171.0,171.0
Treehouse w/Breathtaking Views+HotTub+Hiking+Falls,treehouse,Marion,1.0,2.0,286.0,286.0
“Whimsical Stone Abode” - Boston Magazine,unique_stay,Sandgate,1.0,2.0,301.0,301.0
Buddha Loft in Romantic Zone of Puerto Vallarta,condo,Puerto Vallarta,1.0,2.0,112.0,112.0
The G Frame...an offGrid Cabin + woodstove sauna,cabin,Sanbornton,2.0,4.0,169.0,169.0
Casa Blanca B&B with beautiful terrace &sea views,room,La Habana,2.0,4.0,38.0,43.0
"Cozy Modern Beach House w/ Pool, Hot Tub & More!",cottage,Wheatley,2.0,4.0,764.0,764.0
"Crystal Cabin, Restored Vintage Lodge in Topanga State Park",cabin,Topanga,1.0,2.0,225.0,225.0
Casa Anís,chalet,Cajicá,3.0,6.0,40.0,40.0
Warm Pine A-frame Nestled In The Trees!,cabin,Center Conway,1.0,2.0,287.0,287.0
Hambrook Point Cottage “Homestead”,cottage,Renous,3.0,6.0,93.0,93.0
O’s Barn Cabin,tiny_home,Huntsville,2.0,4.0,118.0,118.0
"Artsy ""Glamping"" experience",tiny_home,Castleton,3.0,6.0,138.0,138.0
"Seamist Beach Cottage, Private Beach & Ocean views",cottage,Bodega Bay,2.0,4.0,670.0,670.0
100+ Year old Rustic Log Cabin near Ghost Lake,cabin,Rocky View County,1.0,2.0,135.0,135.0
The Dragon + Private Island,unique_stay,Low,1.0,2.0,178.0,178.0
"Private Cottage, enjoy beach, sunsets & fishing.",guesthouse,Key Largo,3.0,6.0,218.0,218.0
"Malibu, Carbon Beach - Suite Seven",condo,Malibu,2.0,4.0,773.5,898.0
Waterfront Cottage #1 /Waterfront cottage,cottage,Petit-Tracadie,2.0,4.0,144.0,144.0
Harrell’s Cabin,cabin,Jarratt,2.0,4.0,125.0,125.0
6 Ibuku Big Cabin by Lake Jacuzzi Kayak,cabin,El Peñol,7.0,14.0,220.0,220.0
The Brite House - Oceanfront Sojourn,guest_suite,North Vancouver,3.0,6.0,305.0,305.0
♨ Cedar Coast Lodge - Coastal retreat w/ HOT TUB,house,Shirley,5.0,10.0,480.0,480.0
"LUXURY 5★s ICON BRICKELL CONDO@47TH, GYM/POOL",apartment,Miami,2.0,4.0,252.0,398.0
Mansion in the Park - garden view queen en suite,room,Kansas City,3.0,6.0,148.0,148.0
Dome L'Albatros | Private Spa | BBQ Zone,unique_stay,Lac-Supérieur,6.0,12.0,322.0,322.0
The Majesta ! Incredible Sunset !,chalet,Saint-Damien,1.0,2.0,315.0,315.0
"Heaven Lodge, entire house surrounded by nature",house,Tulum,1.0,2.0,128.0,128.0
☆King Bed Apartment☆ Suk-Ha ☆ La Veleta,apartment,Tulum,4.0,8.0,169.0,55.0
Newly-Constructed Riverfront Chalet,chalet,Durham,2.0,4.0,360.0,360.0
"Yellowstone Luxury Tent; sleeps 3, 1 king +1 futon",unique_stay,Island Park,2.0,4.0,224.0,224.0
A-Frame Apogee | Hot Tub · Epic Views · Swing Set,cabin,Arrowbear Lake,1.0,2.0,227.0,227.0
The Nest at Crash Boat. Only waterfront on Beach,house,Borinquen,3.0,6.0,363.0,363.0
Cozy Riverfront Cottage Retreat with Dock,cottage,Wasaga Beach,1.0,2.0,232.0,232.0
The Ruby -A Rustic Red Ark tiny home,tiny_home,Blockhouse,2.0,4.0,81.0,81.0
Romantic lakefront estate with lake view & deck,guesthouse,Peachland,2.0,4.0,271.0,271.0
The Vermont Dream Cabin on 70 Acres,cabin,Shaftsbury,1.0,2.0,219.0,219.0
Jungle Lodge at Nahouse in Tulum,cabin,Tulum,1.0,2.0,109.0,109.0
Cougar Dome at Winderdome Resort!,unique_stay,Windermere,3.0,6.0,335.0,335.0
Cool Clean Condo with Brilliant Oceanfront View,condo,Myrtle Beach,2.0,4.0,261.0,261.0
Beachfront Laguna Beach Magnificent Oceanviews 26,hotel,Laguna Beach,2.0,4.0,281.5,287.0
"Su mejor opción en Playa del Carmen, a pasos de la quinta av.",apartment,Playa del Carmen,2.0,4.0,67.33333333333333,89.0
Cozy Cabin #2 - private cabin in the wilderness!,tiny_home,Maynooth,2.0,4.0,71.0,71.0
Villa Vista Puerto,guesthouse,Cabo Rojo,2.0,4.0,138.0,138.0
Split View Two,tiny_home,Canning,1.0,2.0,134.0,134.0
The Sugar Shack a unique cabin in the Rainforest,cottage,Luquillo,2.0,4.0,75.0,75.0
Noelani-My Perfect Stays Special: Jun 9-16 $189,condo,Lahaina,1.0,2.0,302.0,302.0
Amazing Hyde One-bedroom apartment on the Beach,condo,Hollywood,2.0,4.0,284.0,248.0
East hill cabins #1,cabin,Naples,2.0,4.0,91.0,91.0
Sunset Wilderness Camp,unique_stay,Nemaiah Valley,1.0,2.0,34.0,34.0
Chateau Ridge Chalet w/ Mountain View,loft,The Blue Mountains,4.0,8.0,136.0,154.0
Cozy Blue Mountain Retreat @!@Spring Rates@!@,loft,The Blue Mountains,2.0,4.0,136.0,118.0
5 min to Airport with Terrace in a Safe area !,room,Mexico City,1.0,2.0,30.0,31.0
The Cabin at Fernwood Hills,tiny_home,Komoka,1.0,2.0,112.0,112.0
Hut #3 Romantic Luxury on the sand,other,Punta Cana,2.0,4.0,132.0,132.0
State Park A-Frame with Hiking Trails & Arcade,house,Hilbert,2.0,4.0,239.0,239.0
Luxury Dome w/ Hot Tub & Mountain View,unique_stay,Whittier,2.0,4.0,291.0,291.0
Hut #3 Romantic Luxury on the sand,other,Punta Cana,1.0,2.0,132.0,132.0
State Park A-Frame with Hiking Trails & Arcade,house,Hilbert,2.0,4.0,239.0,239.0
House with pool in the heights of Santa Teresa,house,Puntarenas Province,3.0,6.0,230.0,230.0
Kapetsowa Container Loft near Monteverde Reserve,loft,Monteverde,2.0,4.0,159.0,159.0
Cabin Over a water fall,unique_stay,Quesada,1.0,2.0,82.0,82.0
Cozy Houseboat “Wild One”,unique_stay,Key West,2.0,4.0,233.0,233.0
Pipe’s Lodge,cabin,Zapotal,1.0,2.0,51.0,51.0
New Carriage House * 1 Block to Beach * King Bed!,guesthouse,Destin,1.0,2.0,231.0,231.0
Beachfront Bungalow with private hydromassage Pool,tiny_home,Playa Hermosa,1.0,2.0,162.0,162.0
Bellingham A-Frame - Hot tub & Firepit,house,Bellingham,2.0,4.0,232.0,232.0
"Villa Bohème 3, 1BR with Patio",apartment,San Juan,1.0,2.0,115.0,115.0
Loft Boutique Cd de México Mountain view 🏔,loft,Mexico City,1.0,2.0,57.0,57.0
New lux cabin w/mount index view,cabin,Gold Bar,2.0,4.0,264.5,253.0
Guesthouse Great Ocean & Mountain Views near Beach,house,Malibu,1.0,2.0,468.0,468.0
The Little Tree House at Country Club of Orlando,tiny_home,Orlando,1.0,2.0,127.0,127.0
Paradise awaits on this cozy houseboat!,unique_stay,Marathon,1.0,2.0,276.0,276.0
Hut #2 Romantic Luxury on the sand,unique_stay,Uvero Alto - Bavaro - Punta Cana,2.0,4.0,186.0,186.0
Loft ALAMO /El Refugio Cabañas Mazamitla,loft,Mazamitla,2.0,4.0,58.0,58.0
Hut #2 Romantic Luxury on the sand,unique_stay,Uvero Alto - Bavaro - Punta Cana,2.0,4.0,186.0,186.0
Pool View Beach Residence / Private Beach Access,apartment,Punta Cana,1.0,2.0,47.0,37.0
Eagles Nest Treehouse w/Hot tub!,treehouse,Wardensville,3.0,6.0,244.0,244.0
Modern Houseboat On the water,unique_stay,Stuart,1.0,2.0,150.0,173.0
BoHo lofts & studios new modern w/ ocean-view pool,apartment,Playa del Carmen,1.0,2.0,67.33333333333333,38.0
Oceanfront 14th Floor Brand New Beachfront Flat,condo,Miami Beach,2.0,4.0,271.75,302.0
Hobbithenge,unique_stay,Weaverville,1.0,2.0,142.0,142.0
Beachfront Bungalow w/ private hydromassage pool 2,unique_stay,Playa Hermosa,2.0,4.0,147.0,147.0
"Luxury Treehouse, Romantic, Views, Hike-Waterfall",cabin,Marion,1.0,2.0,228.0,228.0
Quiet and Private Retreat in a 1967 Airstream on the Coast.,unique_stay,Half Moon Bay,2.0,4.0,220.0,220.0
Tiny Dome River Glamping Experience,unique_stay,Hiawassee,1.0,2.0,143.0,143.0
New Boho Sabana Apartment Close to Airports w/ AC,apartment,San José,1.0,2.0,89.0,89.0
Elegant Ocean Front Condo! Rosarito Beach !WOW!!,condo,Rosarito,2.0,4.0,172.0,171.0
Highest Reviewed - Ocean Front + Free Parking!,condo,Atlantic City,2.0,4.0,151.5,170.0
The Dawn of Annapurna Cabin,cabin,Santa Marta,1.0,2.0,61.0,61.0
